"Duration","current","last","change","weekAVG","days30AVG","days60AVG"
"1M",0.1,0.1,0,0.0985714285714286,0.0793333333333333,0.0675
"3M",0.11,0.11,0,0.101428571428571,0.101666666666667,0.0961666666666667
"6M",0.13,0.13,0,0.137142857142857,0.142,0.145
"1Y",0.19,0.19,0,0.194285714285714,0.181666666666667,0.186833333333333
"2Y",0.26,0.26,0,0.281428571428571,0.253,0.27
"3Y",0.36,0.37,-0.01,0.402857142857143,0.344,0.363666666666667
"5Y",0.71,0.71,0,0.766,0.727647058823529,0.727647058823529
"7Y",1.13,1.16,-0.03,1.214,1.15058823529412,1.15058823529412
"10Y",1.68,1.71,-0.03,1.764,1.69235294117647,1.69235294117647
"20Y",2.41,2.44,-0.0299999999999998,2.496,2.41,2.41
"30Y",2.79,2.82,-0.0299999999999998,2.874,2.77823529411765,2.77823529411765
